utilization.gpu [%], memory.used [MiB]
9 %, 1506 MiB
6 %, 1502 MiB
7 %, 1506 MiB
8 %, 1502 MiB
7 %, 1502 MiB
6 %, 1502 MiB
6 %, 1502 MiB
5 %, 1502 MiB
7 %, 1505 MiB
6 %, 1506 MiB
6 %, 1502 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1506 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1502 MiB
3 %, 1507 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1506 MiB
5 %, 1502 MiB
4 %, 1502 MiB
5 %, 1501 MiB
6 %, 1506 MiB
6 %, 1502 MiB
5 %, 1506 MiB
2 %, 1506 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1508 MiB
5 %, 1503 MiB
5 %, 1503 MiB
5 %, 1515 MiB
5 %, 1515 MiB
30 %, 1533 MiB
31 %, 1581 MiB
12 %, 1575 MiB
8 %, 1565 MiB
8 %, 1556 MiB
10 %, 1557 MiB
8 %, 1531 MiB
4 %, 1524 MiB
8 %, 1507 MiB
8 %, 1507 MiB
8 %, 1507 MiB
11 %, 1531 MiB
8 %, 1531 MiB
8 %, 1513 MiB
8 %, 1517 MiB
7 %, 1514 MiB
8 %, 1512 MiB
8 %, 1511 MiB
8 %, 1512 MiB
8 %, 1511 MiB
0 %, 1512 MiB
9 %, 1520 MiB
8 %, 1519 MiB
8 %, 1509 MiB
9 %, 1514 MiB
8 %, 1514 MiB
8 %, 1492 MiB
8 %, 1489 MiB
8 %, 1493 MiB
8 %, 1489 MiB
8 %, 1493 MiB
8 %, 1489 MiB
20 %, 1503 MiB
20 %, 1503 MiB
9 %, 1493 MiB
22 %, 1503 MiB
21 %, 1493 MiB
20 %, 1489 MiB
19 %, 1489 MiB
17 %, 1493 MiB
8 %, 1493 MiB
18 %, 1500 MiB
20 %, 1493 MiB
22 %, 1489 MiB
17 %, 1493 MiB
19 %, 1493 MiB
9 %, 1489 MiB
18 %, 1489 MiB
20 %, 1493 MiB
19 %, 1493 MiB
22 %, 1489 MiB
17 %, 1489 MiB
9 %, 1493 MiB
14 %, 1512 MiB
8 %, 1505 MiB
8 %, 1503 MiB
8 %, 1494 MiB
8 %, 1498 MiB
8 %, 1493 MiB
0 %, 1492 MiB
8 %, 1492 MiB
4 %, 1492 MiB
9 %, 1500 MiB
9 %, 1498 MiB
8 %, 1489 MiB
9 %, 1489 MiB
