timestamp,latency_ms_p95,tier
1786629513.623,22.21428571428571,balanced
1786629518.623,22.19565217391304,balanced
1786629523.623,22.195652173913043,balanced
1786629528.623,22.321428571428573,balanced
1786629533.623,22.276315789473685,balanced
1786629538.623,22.099999999999998,balanced
1786629543.623,22.321428571428566,balanced
1786629548.623,22.3125,balanced
1786629553.623,22.149999999999995,balanced
1786629558.623,22.468749999999996,balanced
1786629563.623,20.124999999999993,balanced
1786629568.623,21.999999999999993,balanced
1786629573.623,NaN,balanced
1786629578.623,NaN,balanced
1786629583.623,NaN,balanced
1786629588.623,NaN,balanced
1786629593.623,NaN,balanced
1786629598.623,NaN,balanced
1786629603.623,NaN,balanced
1786629608.623,NaN,balanced
1786629613.623,NaN,balanced
1786629618.623,NaN,balanced
1786629623.623,NaN,balanced
1786629628.623,NaN,balanced
1786629633.623,NaN,balanced
1786629638.623,NaN,balanced
1786629643.623,NaN,balanced
1786629648.623,NaN,balanced
1786629653.623,NaN,balanced
1786629658.623,NaN,balanced
1786629663.623,NaN,balanced
1786629668.623,NaN,balanced
1786629673.623,NaN,balanced
1786629678.623,NaN,balanced
1786629683.623,NaN,balanced
1786629688.623,NaN,balanced
1786629693.623,NaN,balanced
1786629698.623,NaN,balanced
1786629703.623,NaN,balanced
1786629708.623,NaN,balanced
1786629713.623,NaN,balanced
1786629718.623,NaN,balanced
1786629723.623,NaN,balanced
1786629728.623,NaN,balanced
1786629733.623,NaN,balanced
1786629738.623,NaN,balanced
1786629743.623,NaN,balanced
1786629748.623,NaN,balanced
1786629753.623,NaN,balanced
1786629758.623,NaN,balanced
1786629763.623,NaN,balanced
1786629768.623,NaN,balanced
1786629773.623,NaN,balanced
1786629778.623,NaN,balanced
1786629783.623,NaN,balanced
1786629788.623,NaN,balanced
1786629793.623,NaN,balanced
1786629798.623,NaN,balanced
1786629803.623,NaN,balanced
1786629808.623,NaN,balanced
1786629813.623,NaN,balanced
1786629818.623,NaN,balanced
1786629823.623,NaN,balanced
1786629828.623,NaN,balanced
1786629833.623,NaN,balanced
1786629838.623,NaN,balanced
1786629843.623,NaN,balanced
1786629848.623,NaN,balanced
1786629853.623,NaN,balanced
1786629858.623,NaN,balanced
1786629863.623,NaN,balanced
1786629868.623,NaN,balanced
1786629873.623,NaN,balanced
1786629878.623,NaN,balanced
1786629883.623,NaN,balanced
1786629888.623,NaN,balanced
1786629893.623,NaN,balanced
1786629898.623,NaN,balanced
1786629903.623,NaN,balanced
1786629908.623,NaN,balanced
1786629913.623,NaN,balanced
1786629918.623,NaN,balanced
1786629923.623,NaN,balanced
1786629928.623,NaN,balanced
1786629933.623,NaN,balanced
1786629938.623,NaN,balanced
1786629943.623,NaN,balanced
1786629948.623,NaN,balanced
1786629953.623,NaN,balanced
1786629958.623,NaN,balanced
1786629963.623,NaN,balanced
1786629968.623,NaN,balanced
1786629973.623,NaN,balanced
1786629978.623,NaN,balanced
1786629983.623,NaN,balanced
1786629988.623,NaN,balanced
1786629993.623,NaN,balanced
1786629998.623,NaN,balanced
1786630003.623,NaN,balanced
1786630008.623,NaN,balanced
1786630013.623,NaN,balanced
1786630018.623,NaN,balanced
1786630023.623,NaN,balanced
1786630028.623,NaN,balanced
1786630033.623,NaN,balanced
1786630038.623,NaN,balanced
1786630043.623,NaN,balanced
1786630048.623,NaN,balanced
1786630053.623,NaN,balanced
1786630058.623,NaN,balanced
1786630063.623,NaN,balanced
1786630068.623,NaN,balanced
1786630073.623,NaN,balanced
1786630078.623,NaN,balanced
1786630083.623,NaN,balanced
1786630088.623,NaN,balanced
1786630093.623,NaN,balanced
1786630098.623,NaN,balanced
1786630103.623,NaN,balanced
1786630108.623,NaN,balanced
1786630113.623,NaN,balanced
1786630118.623,NaN,balanced
1786630123.623,NaN,balanced
1786630128.623,NaN,balanced
1786630133.623,NaN,balanced
1786630138.623,NaN,balanced
1786630143.623,NaN,balanced
1786630148.623,NaN,balanced
1786630153.623,NaN,balanced
1786630158.623,NaN,balanced
1786630163.623,NaN,balanced
1786630168.623,NaN,balanced
1786630173.623,NaN,balanced
1786630178.623,NaN,balanced
1786630183.623,NaN,balanced
1786630188.623,NaN,balanced
1786630193.623,NaN,balanced
1786630198.623,NaN,balanced
1786630203.623,NaN,balanced
1786630208.623,NaN,balanced
1786630213.623,NaN,balanced
1786630218.623,NaN,balanced
1786630223.623,NaN,balanced
1786630228.623,NaN,balanced
1786630233.623,NaN,balanced
1786630238.623,NaN,balanced
1786630243.623,NaN,balanced
1786630248.623,NaN,balanced
1786630253.623,NaN,balanced
1786630258.623,NaN,balanced
1786630263.623,NaN,balanced
1786630268.623,NaN,balanced
1786630273.623,NaN,balanced
1786630278.623,NaN,balanced
1786630283.623,NaN,balanced
1786630288.623,NaN,balanced
1786630293.623,NaN,balanced
1786630298.623,NaN,balanced
1786630303.623,NaN,balanced
1786630308.623,NaN,balanced
1786630313.623,NaN,balanced
1786630318.623,NaN,balanced
1786630323.623,NaN,balanced
1786630328.623,NaN,balanced
1786630333.623,NaN,balanced
1786630338.623,NaN,balanced
1786630343.623,NaN,balanced
1786630348.623,NaN,balanced
1786630353.623,NaN,balanced
1786630358.623,NaN,balanced
1786630363.623,NaN,balanced
1786630368.623,NaN,balanced
1786630373.623,NaN,balanced
